ParticipantID,Trial,FixationNo,StartTime,EndTime,Duration,PositionX,PositionY,PupilSize,EyeUsed,Task,ActorGender,Direction,Ostensiveness
Alina,5,10,4044,4392,350,861.2,445.2,4745,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,11,4412,4804,394,861.1,448,4693,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,12,4834,5110,278,863.5,446.1,4667,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,13,5130,5456,328,852.9,443.9,4614,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,14,5488,6092,606,865.9,447.1,4558,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,15,6122,6344,224,858.1,445.4,4558,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,16,6372,6406,36,862.8,446.5,4591,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,6,1,18,356,340,811.1,446,4611,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,2,392,620,230,876.4,460.1,4639,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,3,644,1030,388,870.5,446.2,4576,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,4,1056,1370,316,895.3,463.2,4394,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,5,1388,1660,274,890.4,459.5,4380,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,6,1678,2158,482,874.5,449.7,4400,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,7,2188,2526,340,883.1,446.2,4473,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,8,2588,2748,162,710.3,706.4,4648,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,9,2770,3090,322,707.8,683.2,4701,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,10,3144,3336,194,860.6,446.6,4494,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,11,3362,4132,772,879.9,447.1,4555,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,12,4150,4526,378,863.7,442.1,4574,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,13,4556,4826,272,876.2,446.6,4538,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,14,4846,5306,462,875.3,438.5,4504,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,15,5314,5702,390,872.6,445.3,4575,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,16,5728,6392,666,885.4,428.1,4623,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,7,1,4,314,312,836.7,428,4667,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,2,346,528,184,885.4,466.2,4771,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,3,560,2528,1970,868.8,434.2,4800,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,4,2556,2704,150,880.8,463.3,4989,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,5,2750,3448,700,886.1,656.3,5160,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,6,3476,3646,172,870.3,696.2,5187,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,7,3690,3812,124,886.9,531.7,5056,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,8,3838,5630,1794,861.6,441.8,4790,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,9,5648,6108,462,859.8,435.8,4771,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,10,6122,6408,288,857.7,439.6,4807,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,8,1,10,478,470,813.5,477.5,4745,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,2,508,1538,1032,878.9,442.9,4627,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,3,1558,1836,280,882.8,429.8,4658,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,4,1894,2594,702,884.8,664.8,4711,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,5,2652,2870,220,883.1,433.7,4710,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,6,2890,3240,352,898.5,422.6,4800,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,7,3270,3486,218,901.6,430.9,4843,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,8,3550,3652,104,875.3,738.4,4950,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,9,3676,4056,382,878.6,697,4948,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,10,4076,4194,120,891.3,703.3,4894,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,11,4254,4792,540,884.8,435.2,4799,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,12,4824,6404,1582,870.3,439.7,5028,RIGHT,Social Engagement,Male,First person,Non-ostensive
Astrid,1,1,4,80,78,824.7,383,5093,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,2,120,368,250,691.4,452,5045,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,3,390,542,154,644.4,454.3,5033,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,4,586,1110,526,830.8,440.3,4874,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,5,1122,3058,1938,839.4,433.9,4586,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,6,3096,3336,242,851.5,688.8,4998,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,7,3378,3502,126,831.5,491.8,4962,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,8,3528,6472,2946,837.5,436.3,4903,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,2,1,4,472,470,886.2,505.7,4761,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,2,498,1354,858,831,433.3,4499,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,3,1374,1866,494,830.8,424.7,4500,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,4,1906,2190,286,831.9,627.7,4692,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,5,2238,4050,1814,837.8,430.9,4597,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,6,4100,4338,240,827.3,662.9,4763,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,7,4388,4510,124,844,386.7,4765,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,8,4524,5024,502,841.5,421.8,4608,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,9,5250,5358,110,820.8,396.9,4544,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,10,5378,6402,1026,837.6,416.4,4679,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,3,1,6,474,470,986.8,522.1,4949,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,2,504,932,430,841.8,449.4,4882,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,3,940,1254,316,847.3,432.4,4641,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,4,1296,2892,1598,821.6,631.1,4740,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,5,2938,3376,440,860.5,443.3,4825,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,6,3420,3686,268,850.5,677.8,4771,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,7,3722,4060,340,850.8,459.5,4729,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,8,4088,5148,1062,838.7,437.9,4581,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,9,5160,5644,486,851.8,428.3,4666,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,10,5670,5950,282,841,429,4766,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,11,6002,6330,330,839.7,681.1,4873,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,12,6370,6406,38,842,405.9,4790,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,4,1,4,458,456,977.8,505.7,4880,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,2,494,674,182,844.5,483.8,4884,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,3,696,1882,1188,836.1,437.1,4408,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,4,1892,2358,468,841.6,448.7,4489,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,5,2390,2736,348,754.9,614.1,4577,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,6,2748,2962,216,770.6,625.6,4661,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,7,2996,3374,380,839.9,448.1,4516,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,8,3414,3678,266,696.3,674,4639,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,9,3702,3864,164,668.5,637.3,4750,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,10,3912,4074,164,834.2,421.8,4748,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,11,4084,4942,860,832.5,446.1,4650,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,12,4984,5282,300,685.6,646.1,4644,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,13,5302,5616,316,673.2,650.9,4595,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,14,5656,5884,230,831.4,499.3,4475,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,15,5906,6106,202,838.7,566.5,4465,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,16,6136,6294,160,828.8,435.6,4485,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,17,6304,6392,90,825.8,455.2,4479,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,5,1,4,48,46,861.9,510.2,4521,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,2,76,458,384,978.6,507.5,4602,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,3,486,620,136,831,479.7,4676,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,4,646,1388,744,829.8,452,4429,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,5,1406,1968,564,820,460.4,4477,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,6,2006,2226,222,769.5,648,4574,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,7,2244,2976,734,749.1,622.1,4611,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,8,3012,3294,284,813.4,469.1,4532,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,9,3310,3616,308,816.8,443.3,4530,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,10,3626,3860,236,809.3,467.3,4490,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,11,3898,4352,456,675.4,666,4674,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,12,4400,4804,406,821.1,438,4741,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,13,4814,5552,740,811.9,456.2,4682,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,14,5596,5736,142,926,600.9,4678,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,15,5776,6388,614,838.2,451.3,4891,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,6,1,4,448,446,973.4,518.7,4880,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,2,478,624,148,818,513.4,4976,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,3,652,932,282,832.5,431.2,4774,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,4,1206,1310,106,840.3,646,4649,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,5,1330,1538,210,824.7,607.6,4708,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,6,1570,1858,290,839.9,449.8,4727,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,7,1894,3084,1192,831.2,635.8,4750,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,8,3128,5052,1926,842.2,444.5,4630,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,9,5076,5278,204,826.1,490.1,4815,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,10,5320,5698,380,840.7,689.4,5052,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,11,5748,5964,218,827.4,433.8,4960,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,12,5988,6178,192,859.5,445.3,4913,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,13,6202,6394,194,837.6,450.2,4913,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,7,1,4,456,454,950.7,530,4682,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,2,492,622,132,826.8,475.9,4731,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,3,638,872,236,816.4,450.5,4529,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,4,1104,2454,1352,816.4,429.6,4581,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,5,2510,2802,294,747.2,659.7,4633,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,6,2838,3124,288,657.5,637.2,4803,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,7,3150,3466,318,709.2,640.8,4857,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,8,3500,3562,64,673.2,646.8,4891,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,9,3816,3918,104,812.4,389.2,4869,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,10,3936,6236,2302,827.8,422.3,4851,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,11,6288,6386,100,713.5,611.6,5197,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,8,1,40,42,4,826.8,383.8,5116,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,2,50,190,142,828.8,386.7,5136,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,3,222,462,242,787.7,506.7,5202,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,4,490,1102,614,858.6,439.7,5113,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,5,1140,1404,266,789.7,626.9,5266,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,6,1442,1732,292,855.7,446.4,5334,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,7,1770,2346,578,765.2,619,5476,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,8,2656,2832,178,686.4,688.7,5382,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,9,2858,3170,314,693.4,648.7,5315,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,10,3218,3346,130,838.7,410.3,5170,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,11,3360,3958,600,844.4,437.2,4979,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,12,3984,4268,286,827,426,4803,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,13,4278,4940,664,829,432.1,4782,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,14,5114,6262,1150,836.4,438.4,4583,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,15,6308,6390,84,704.4,677.9,4578,LEFT,Social Engagement,Male,Third person,Non-ostensive
balasz,1,1,4,404,402,710.8,366.9,5869,LEFT,Social Engagement,NA,NA,NA
balasz,1,2,434,582,150,856,357.6,5963,LEFT,Social Engagement,NA,NA,NA
balasz,1,3,612,892,282,807.7,487.6,6083,LEFT,Social Engagement,NA,NA,NA
balasz,1,4,904,1496,594,803.8,449.8,6319,LEFT,Social Engagement,NA,NA,NA
balasz,1,5,1534,2278,746,743.4,606.7,6627,LEFT,Social Engagement,NA,NA,NA
balasz,1,6,2474,4968,2496,671.6,640.6,6528,LEFT,Social Engagement,NA,NA,NA
balasz,1,7,4994,5238,246,684.8,632.4,6550,LEFT,Social Engagement,NA,NA,NA
balasz,1,8,5282,6052,772,823.3,435,6281,LEFT,Social Engagement,NA,NA,NA
balasz,1,9,6230,6340,112,673.7,624.4,6246,LEFT,Social Engagement,NA,NA,NA
balasz,1,10,6364,6472,110,649,644.8,6272,LEFT,Social Engagement,NA,NA,NA
balasz,2,1,4,832,830,892.8,538.7,6614,LEFT,Social Engagement,NA,NA,NA
balasz,2,2,1072,1330,260,840.8,661.9,6654,LEFT,Social Engagement,NA,NA,NA
balasz,2,3,1356,2026,672,798.5,652.2,6736,LEFT,Social Engagement,NA,NA,NA
balasz,2,4,2292,2440,150,808.3,768.6,6539,LEFT,Social Engagement,NA,NA,NA
balasz,2,5,2468,6402,3936,797,693.2,6731,LEFT,Social Engagement,NA,NA,NA
balasz,3,1,4,490,488,936.3,502.5,6446,LEFT,Social Engagement,NA,NA,NA
balasz,3,2,528,708,182,776.3,591.2,6468,LEFT,Social Engagement,NA,NA,NA
balasz,3,3,748,2484,1738,793.4,436.9,6487,LEFT,Social Engagement,NA,NA,NA
balasz,3,4,2526,2766,242,820.7,651.8,6782,LEFT,Social Engagement,NA,NA,NA
balasz,3,5,2800,5518,2720,808.3,665.2,6445,LEFT,Social Engagement,NA,NA,NA
balasz,3,6,5688,6398,712,808.4,680.7,6581,LEFT,Social Engagement,NA,NA,NA
balasz,4,1,4,494,492,911.4,510.9,6421,LEFT,Social Engagement,NA,NA,NA
balasz,4,2,524,670,148,780.9,535.4,6489,LEFT,Social Engagement,NA,NA,NA
balasz,4,3,704,1992,1290,807.7,415.7,6213,LEFT,Social Engagement,NA,NA,NA
balasz,4,4,2032,2566,536,806.6,648.7,6282,LEFT,Social Engagement,NA,NA,NA
balasz,4,5,2758,3842,1086,781.6,658.6,6686,LEFT,Social Engagement,NA,NA,NA
balasz,4,6,4024,4164,142,827.6,674.1,6479,LEFT,Social Engagement,NA,NA,NA
balasz,4,7,4178,6388,2212,802.4,681.9,6164,LEFT,Social Engagement,NA,NA,NA
balasz,5,1,4,468,466,905,512.2,6290,LEFT,Social Engagement,NA,NA,NA
balasz,5,2,498,664,168,760.9,562.8,6372,LEFT,Social Engagement,NA,NA,NA
balasz,5,3,684,1314,632,743.2,590.5,6279,LEFT,Social Engagement,NA,NA,NA
balasz,5,4,1450,1538,90,848.8,367.6,6505,LEFT,Social Engagement,NA,NA,NA
balasz,5,5,1562,1824,264,806.2,421.8,6643,LEFT,Social Engagement,NA,NA,NA
balasz,5,6,1842,2324,484,790.6,453.1,6834,LEFT,Social Engagement,NA,NA,NA
balasz,5,7,2544,3544,1002,680.9,663,6733,LEFT,Social Engagement,NA,NA,NA
balasz,5,8,3738,4586,850,614.6,650.4,6682,LEFT,Social Engagement,NA,NA,NA
balasz,5,9,4608,4848,242,632,653.4,6633,LEFT,Social Engagement,NA,NA,NA
balasz,5,10,5082,6382,1302,622.8,645.4,6676,LEFT,Social Engagement,NA,NA,NA
balasz,6,1,4,486,484,888.6,502.2,6865,LEFT,Social Engagement,NA,NA,NA
balasz,6,2,522,708,188,733.6,613.7,6818,LEFT,Social Engagement,NA,NA,NA
balasz,6,3,746,908,164,763.7,449.3,6463,LEFT,Social Engagement,NA,NA,NA
balasz,6,4,920,1494,576,796.1,440.4,6298,LEFT,Social Engagement,NA,NA,NA
balasz,6,5,1512,2356,846,804,433.8,6297,LEFT,Social Engagement,NA,NA,NA
balasz,6,6,2394,6388,3996,630.9,618.4,6698,LEFT,Social Engagement,NA,NA,NA
balasz,7,1,4,604,602,789.4,489.1,6676,LEFT,Social Engagement,NA,NA,NA
balasz,7,2,624,778,156,789.2,442.7,6645,LEFT,Social Engagement,NA,NA,NA
balasz,7,3,792,1640,850,793.4,413.4,6406,LEFT,Social Engagement,NA,NA,NA
balasz,7,4,1852,1998,148,823.2,416.5,6382,LEFT,Social Engagement,NA,NA,NA
balasz,7,5,2018,2528,512,796.3,435.7,6344,LEFT,Social Engagement,NA,NA,NA
balasz,7,6,2566,4016,1452,666.3,641.4,6421,LEFT,Social Engagement,NA,NA,NA
balasz,7,7,4194,6276,2084,631.5,637.4,6573,LEFT,Social Engagement,NA,NA,NA
balasz,7,8,6288,6376,90,639.2,592.6,6799,LEFT,Social Engagement,NA,NA,NA
balasz,8,1,4,498,496,840.3,489.3,6677,LEFT,Social Engagement,NA,NA,NA
balasz,8,2,530,1074,546,774.4,594.4,6874,LEFT,Social Engagement,NA,NA,NA
balasz,8,3,1114,2256,1144,794.9,401.9,6945,LEFT,Social Engagement,NA,NA,NA
balasz,8,4,2294,2674,382,799,599.5,7024,LEFT,Social Engagement,NA,NA,NA
balasz,8,5,2692,4980,2290,787.5,653.2,7104,LEFT,Social Engagement,NA,NA,NA
balasz,8,6,5158,6384,1228,791.9,652.6,6658,LEFT,Social Engagement,NA,NA,NA
Ditlev,1,1,4,72,70,710.2,543.1,5870,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,2,116,508,394,718.2,421.1,6023,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,3,544,700,158,803.4,435.7,5978,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,4,728,1130,404,810.4,433.6,5578,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,5,1138,2000,864,820.7,432.3,5526,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,6,2052,2216,166,754.8,673.3,5820,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,7,2240,2450,212,766.8,625.2,5886,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,8,2488,2766,280,709.3,682.1,5903,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,9,2784,3286,504,697.6,666.7,6038,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,10,3304,3602,300,696.1,662.8,5998,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,11,3660,3760,102,890.7,391.3,5918,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,12,3786,4676,892,853.4,422.3,6046,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Ditlev,1,13,4694,4786,94,841,433.1,6094,RIGHT,Social Engagement,Male,Third person,Non-ostensive
