ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction.x,Amplitude,EyeUsed,Task,ActorGender,Direction.y,Ostensiveness
Alina,4,5,3766,3826,62,842.1,423.3,856.4,759.9,556.15,191.71,false,DOWN,8.41,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,6,3876,3896,22,850.6,744.1,850.6,686.6,120.14,65.36,false,UP,1.4,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,7,4150,4166,18,852.3,695.4,839.4,694.2,42.14,28.27,false,.,0.27,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,8,4284,4338,56,847.3,695.4,850.1,451.3,329.13,137.94,false,UP,6.13,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,9,4730,4734,6,851.7,435,851.5,426.5,35.16,33.44,false,.,0.22,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,10,5692,5720,30,845.6,414.5,837.4,415.7,94.02,53.34,false,.,0.18,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,11,6094,6116,24,853.2,418.7,848.9,429.4,53.64,30.11,false,.,0.29,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,12,6378,6402,26,861.1,415.6,858.3,417.6,39.34,29.76,false,.,0.08,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,5,1,76,94,20,829.1,418.9,828.1,403.8,47.98,34.16,false,.,0.39,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,2,466,504,40,828.9,401.7,866.9,445.1,136.31,76.84,false,DOWN,1.38,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,3,672,698,28,870.5,459,865.7,444.6,83.13,45.97,false,.,0.38,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,4,1142,1168,28,865,433.6,857,450.4,89.05,52.97,false,.,0.47,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,5,2436,2492,58,871.2,433.5,869.9,686.6,401.37,148.68,false,DOWN,6.38,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,6,2840,2854,16,868.1,711.4,870.3,704.6,38.29,25.27,false,.,0.17,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,7,2988,3050,64,868.7,714.7,851,443.9,359.68,132.23,false,UP,6.8,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,8,3266,3276,12,864.2,457.1,866.1,471.1,35.04,33.28,false,.,0.36,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,9,4018,4042,26,860.7,447.6,856.2,451.8,65.55,47.56,false,.,0.14,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,10,4394,4410,18,856.8,438.5,855.5,443.3,39.31,26.83,false,.,0.13,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,11,4806,4832,28,863.7,447.6,879.8,455.9,87.41,48.79,false,.,0.4,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,12,5112,5128,18,862.9,441.7,843.2,444.6,40.97,29.71,false,.,0.42,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,13,5458,5486,30,855.8,444.5,853.9,452.9,77.47,47.15,false,.,0.22,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,14,6094,6120,28,861.7,442.3,846.7,448.5,72.25,43.11,false,.,0.35,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,15,6346,6370,26,858.8,444.7,853,446.4,60.57,38.35,false,.,0.13,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,6,1,358,390,34,813.1,441,865.3,464.4,174.09,79.17,false,RIGHT,1.25,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,2,622,642,22,878.6,457.7,859,449.1,65.78,40.84,false,.,0.47,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,3,1032,1054,24,881,445.4,883.3,468.9,53.74,40.57,false,DOWN,0.61,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,4,1372,1386,16,893.6,460.9,890,459.8,35.14,23.26,false,.,0.08,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,5,1662,1676,16,883.6,459.8,874.4,452,35.37,22.86,false,.,0.28,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,6,2160,2186,28,874.8,447.7,880.7,451,75.94,48.32,false,.,0.15,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,7,2528,2586,60,879.6,448,710.4,713.4,480.38,175.27,false,DOWN,7.51,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,8,2750,2768,20,709.2,705.1,708,673.7,80.36,49.78,false,UP,0.77,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,9,3092,3142,52,707.8,684.9,850.7,465.5,371.15,144.71,false,UP,6.26,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,10,3338,3360,24,867.3,446.3,868.9,448.4,64.52,42.86,false,.,0.06,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,11,4134,4148,16,870.8,445.7,859.6,443.5,35.46,23.07,false,.,0.24,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,12,4528,4554,28,862.5,439.6,859,446.1,78.86,55.52,false,.,0.18,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,13,4828,4844,18,878.4,446.3,870.7,433,46.93,31.39,false,.,0.38,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,14,5308,5312,6,885.1,453.2,877.6,448.6,38.83,32.92,false,.,0.2,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,6,15,5704,5726,24,878.5,441.5,870.9,434.7,55.14,36.95,false,.,0.24,RIGHT,Social Engagement,Male,Third person,Non-ostensive
Alina,7,1,316,344,30,833.1,423.8,873.6,474,166.89,83.97,false,DOWN,1.55,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,2,530,558,30,886.4,465,876.1,445.8,97.38,51.53,false,UP,0.54,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,3,2530,2554,26,872.8,430.1,867.1,470.6,70.84,48.68,false,DOWN,1.05,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,4,2706,2748,44,883.3,464.2,883.7,598.8,345.76,131.3,false,DOWN,3.42,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,5,3450,3474,26,872.6,680.7,878.4,699,46.67,33.97,false,.,0.46,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,6,3648,3688,42,870.3,699.9,885.9,522.6,150.19,104,false,UP,4.43,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,7,3814,3836,24,884.7,529.1,878.5,445.3,161.17,86.83,false,UP,2.15,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,8,5632,5646,16,860.7,438.3,863.4,447.4,32.86,22.21,false,.,0.24,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,7,9,6110,6120,12,874.9,435,858.6,440.6,45.17,28.6,false,.,0.37,RIGHT,Social Engagement,Female,First person,Ostensive
Alina,8,1,480,506,28,821.9,475.3,852.8,459.5,101.61,50.02,false,RIGHT,0.77,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,2,1540,1556,18,890.9,431.3,883.4,432.9,46.51,34.17,false,.,0.16,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,3,1838,1892,56,882.7,429.9,884.4,677.4,455.47,162.48,false,DOWN,6.23,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,4,2596,2650,56,883.6,656.4,889,448.6,343.21,108.81,false,UP,5.24,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,5,2872,2888,18,885.9,430.6,896.1,420.4,55.41,36.68,false,.,0.34,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,6,3242,3268,28,905.4,426.6,891.3,429.2,73.95,46.09,false,.,0.3,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,7,3488,3548,62,898.8,429.3,874.7,749.7,537.78,165.01,false,DOWN,8.02,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,8,3654,3674,22,872.7,737.2,876.5,692.3,89.63,52.2,false,UP,1.1,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,9,4058,4074,18,884.6,698.7,890.4,708.7,41.94,33.59,false,.,0.27,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,10,4196,4252,58,892.8,703.5,888.1,454.5,352.02,134.22,false,UP,6.25,RIGHT,Social Engagement,Male,First person,Non-ostensive
Alina,8,11,4794,4822,30,884.8,436.7,875.3,434,83.97,49.28,false,.,0.21,RIGHT,Social Engagement,Male,First person,Non-ostensive
Astrid,1,1,82,118,38,822.1,383.7,696.7,441.3,298.06,114.15,false,LEFT,3.04,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,2,370,388,20,686.9,454.7,629.1,450.4,97.89,59.43,false,LEFT,1.22,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,3,544,584,42,642,454.7,828.2,445.6,269.44,112.24,false,RIGHT,3.92,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,4,1112,1120,10,838.8,440.5,832.1,423.8,48.65,42.11,false,.,0.45,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,5,3060,3094,36,843.5,441.9,848.7,690.3,326.3,175.22,false,DOWN,6.25,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,6,3338,3376,40,855.6,691.4,834.5,492.4,248.03,150.12,false,UP,5,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,1,7,3504,3526,24,833.5,493.4,858.2,433,112.32,73.57,false,UP,1.64,LEFT,Social Engagement,Female,First person,Ostensive
Astrid,2,1,474,496,24,888.3,499.2,822,409.7,198.62,106.44,false,UP,2.69,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,2,1356,1372,18,837.8,436.5,828.8,424,46.26,30.35,false,.,0.38,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,3,1868,1904,38,833.3,425.5,835.6,641.3,242.55,143.05,false,DOWN,5.47,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,4,2192,2236,46,831.2,625.1,830.5,433.7,291.15,121.88,false,UP,4.85,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,5,4052,4098,48,839.8,421.9,826.5,645.7,377.42,155.77,false,DOWN,5.68,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,6,4340,4386,48,823.8,665.2,841.4,399.3,353.14,162.64,false,UP,6.74,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,7,4512,4522,12,844.8,394.4,837.6,412.5,47.52,42.1,false,.,0.49,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,8,5026,5248,224,849.2,425.1,822.7,395.6,774.72,242.09,true,UP,0.95,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,2,9,5360,5376,18,831.6,403.1,847.6,435.5,72.54,51.79,false,DOWN,0.9,LEFT,Social Engagement,Male,First person,Ostensive
Astrid,3,1,476,502,28,991.4,523.8,831.2,436.6,283.1,144.13,false,LEFT,4.04,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,2,934,938,6,842.1,449.2,841,441,33.83,32.11,false,.,0.21,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,3,1256,1294,40,849.6,432.1,836.9,642.8,247.63,138.75,false,DOWN,5.34,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,4,2894,2936,44,828.9,643.6,857.9,449.7,309.9,129.01,false,UP,4.94,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,5,3378,3418,42,863.9,444.2,849.9,683.7,334.67,147.08,false,DOWN,6.03,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,6,3688,3720,34,846.8,678.9,855.3,479,244.11,153.32,false,UP,5.02,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,7,4062,4086,26,843.9,457.6,844,434.1,83.64,49.31,false,UP,0.61,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,8,5150,5158,10,841.8,445.2,851.7,426.2,52.52,43.56,false,UP,0.53,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,9,5646,5668,24,845.9,424.6,850.7,432.4,60.3,43.54,false,.,0.23,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,10,5952,6000,50,836.2,431,834,662.1,350.57,144.38,false,DOWN,5.84,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,3,11,6332,6368,38,842.7,679.7,836,395.3,368.31,189.76,false,UP,7.18,LEFT,Social Engagement,Male,First person,Non-ostensive
Astrid,4,1,460,492,34,979.4,511.1,851.4,487.6,236.14,103.66,false,LEFT,2.75,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,2,676,694,20,838.9,478.6,823.8,423.1,109.18,67.58,false,UP,1.47,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,3,1884,1890,8,841.1,438.7,853.5,446.8,41.31,36.91,false,.,0.33,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,4,2360,2388,30,837.4,455.8,769.9,600.5,277.04,143.04,false,DOWN,3.94,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,5,2738,2746,10,749.9,615.7,772.2,620.3,51.06,45.17,false,.,0.48,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,6,2964,2994,32,768,626.4,831.9,442.7,278.54,150.45,false,UP,4.84,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,7,3376,3412,38,839.2,448.5,713.3,668.3,374.7,175.61,false,DOWN,6.13,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,8,3680,3700,22,692.1,676.4,664.3,629.4,109.65,64.01,false,UP,1.29,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,9,3866,3910,46,666.4,638.8,833.2,436.6,373.12,156.48,false,UP,6.18,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,10,4076,4082,8,831.8,426.3,830.3,440.6,45.21,40.9,false,.,0.37,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,11,4944,4982,40,838.2,448.9,692.4,645.6,339.95,166.61,false,DOWN,5.82,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,12,5284,5300,18,682.9,646.4,669.1,649.5,42.78,27.68,false,.,0.29,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,13,5618,5654,38,673.2,652.1,825.8,492.9,243.54,136.66,false,UP,5.11,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,14,5886,5904,20,832.1,502.9,844.2,571.6,132.72,87.44,false,DOWN,1.76,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,15,6108,6134,28,836.1,569.9,822.6,436.9,211.45,122.78,false,UP,3.4,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,4,16,6296,6302,8,830,438.3,824.7,449.1,42.36,38.66,false,.,0.3,LEFT,Social Engagement,Female,Third person,Ostensive
Astrid,5,1,50,74,26,859.5,509,997.4,514.4,202.37,107.51,false,RIGHT,2.89,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,2,460,484,26,975,506.6,821.4,473.9,241.35,123.1,false,LEFT,3.33,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,3,622,644,24,829.6,482.4,826.5,440.7,100.9,54.33,false,UP,1.08,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,4,1390,1404,16,822.7,447.7,816.9,461.8,41.9,29.78,false,.,0.38,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,5,1970,2004,36,820.5,456.3,767.9,648.7,223.44,138.44,false,DOWN,4.98,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,6,2228,2242,16,768.2,645.9,747.3,615.1,72.07,49.59,false,UP,0.88,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,7,2978,3010,34,744.2,624.5,806.1,459.6,234.28,130.73,false,UP,4.37,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,8,3296,3308,14,812.8,467.5,826.2,436.3,69.25,51.68,false,UP,0.85,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,9,3618,3624,8,812.4,451.2,807.8,461.5,40.48,37.95,false,.,0.28,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,10,3862,3896,36,809.9,465.5,685,652.8,291.44,161.37,false,DOWN,5.39,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,11,4354,4398,46,686.2,663.6,816.7,450.7,321.97,152.95,false,UP,6.01,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,12,4806,4812,8,814.2,440.1,806,449,36.91,33.92,false,.,0.29,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,13,5554,5594,42,812.7,459.1,918.9,608.6,215.32,109.27,false,DOWN,4.39,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,5,14,5738,5774,38,925.7,605.5,840.5,451,262.89,134.26,false,UP,4.31,LEFT,Social Engagement,Female,Third person,Non-ostensive
Astrid,6,1,450,476,28,971.9,520.1,803.3,505.5,245.5,125.12,false,LEFT,3.55,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,2,626,650,26,819.9,515.8,830.7,418.1,169.49,96.74,false,UP,2.52,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,3,934,1204,272,833.8,431.5,867.1,635.5,680.49,239.68,true,DOWN,5.21,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,4,1312,1328,18,830.1,666.9,819.7,616.3,91.88,68.09,false,UP,1.27,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,5,1540,1568,30,820.6,603.8,833,430.5,297.14,148.24,false,UP,4.41,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,6,1860,1892,34,843,452.1,832.3,641.6,276.96,142.12,false,DOWN,4.8,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,7,3086,3126,42,844,653.3,844.7,436.7,200.55,129.28,false,UP,5.48,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,8,5054,5074,22,830.7,446.6,818.6,477.2,62.58,47.94,false,DOWN,0.83,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,9,5280,5318,40,827,491.7,836.4,704.3,230.16,133.01,false,DOWN,5.32,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,10,5700,5746,48,846,688.5,825.4,438.6,350.99,149.74,false,UP,6.3,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,11,5966,5986,22,828.9,436.2,867.8,452.7,83.49,47.92,false,RIGHT,0.92,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,6,12,6180,6200,22,859.5,441.8,826.5,447.9,83.69,48.95,false,LEFT,0.71,LEFT,Social Engagement,Female,First person,Non-ostensive
Astrid,7,1,458,490,34,948.9,527.7,832,475.2,233.91,108.31,false,LEFT,2.79,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,2,624,636,14,824.5,471,806.6,448,59.54,46.05,false,UP,0.7,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,3,874,1102,230,821.8,453.5,823.3,429.3,798.22,231.1,true,UP,0.63,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,4,2456,2508,54,820.5,435.4,746.8,643.3,261.91,124.22,false,DOWN,5.48,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,5,2804,2836,34,735.8,661.7,689.2,630.8,182.68,83.4,false,LEFT,1.23,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,6,3126,3148,24,648.5,646.8,728.4,644.6,132.57,73.35,false,RIGHT,1.65,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,7,3468,3498,32,711.4,644.4,683.6,649.1,102.74,52.72,false,LEFT,0.58,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,8,3564,3814,252,674.7,653.2,815.9,386.1,857.29,297.74,true,UP,7.38,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,9,3920,3934,16,807.2,397.3,822.3,440.3,91.4,69.35,false,DOWN,1.16,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,7,10,6238,6286,50,836.5,401,712.3,602.6,337.08,144.32,false,DOWN,5.76,LEFT,Social Engagement,Male,Third person,Ostensive
Astrid,8,1,44,48,6,828.4,395.2,827.4,395.8,41.67,22.25,false,.,0.03,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,2,192,220,30,829.9,386,783.3,527.4,271.42,126.98,false,DOWN,3.77,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,3,464,488,26,791.9,507.9,861.8,420.2,193.21,101.65,false,UP,2.69,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,4,1104,1138,36,861,445.3,796.7,630.2,292.95,154.8,false,DOWN,4.87,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,5,1406,1440,36,790.5,627.5,851.6,427.4,243.92,143.64,false,UP,5.23,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,6,1734,1768,36,855.4,449.6,783.8,628.1,274.07,142.76,false,DOWN,4.76,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,7,2348,2654,308,738.1,628.6,687.8,689.7,946.43,252.47,true,DOWN,1.83,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,8,2834,2856,24,688.5,692.1,693.6,643.6,91.96,54.91,false,UP,1.2,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,9,3172,3216,46,691.9,641.4,833.5,419.4,343.48,155.82,false,UP,6.35,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,10,3348,3358,12,843.2,413.9,848.6,436.1,57.47,48.28,false,DOWN,0.59,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,11,3960,3982,24,844.3,445.4,821.9,427.8,76.77,48.58,false,LEFT,0.66,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,12,4270,4276,8,827.1,424,838.4,433.5,42.96,37.74,false,.,0.34,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,13,4942,5112,172,837.9,433.4,840,436.5,672.09,265.19,true,.,0.09,LEFT,Social Engagement,Male,Third person,Non-ostensive
Astrid,8,14,6264,6306,44,837.8,442.1,704.4,684.2,330.83,166.31,false,DOWN,6.69,LEFT,Social Engagement,Male,Third person,Non-ostensive
balasz,1,1,406,432,28,706.1,363.1,851.2,359,180.61,109.03,false,RIGHT,3.08,LEFT,Social Engagement,NA,NA,NA
balasz,1,2,584,610,28,853.9,360.7,803.8,489.7,224.52,124.11,false,DOWN,3.5,LEFT,Social Engagement,NA,NA,NA
balasz,1,3,894,902,10,806.3,476.9,805.1,458.8,48.95,43.31,false,.,0.47,LEFT,Social Engagement,NA,NA,NA
balasz,1,4,1498,1532,36,801.8,448,735.9,617.1,250.72,142.09,false,DOWN,4.5,LEFT,Social Engagement,NA,NA,NA
